bin,zCMB,MU,MUERR
0,0.02139,15.49,0.0124
1,0.0391,16.8248,0.0108
2,0.059989999999999995,17.7995,0.0171
3,0.08727,18.6447,0.0451
4,0.11732999999999999,19.3647,0.0443
5,0.14307,19.845,0.028
6,0.17423,20.2564,0.0254
7,0.20425,20.6354,0.019
8,0.24079,21.0444,0.0189
9,0.27934000000000003,21.429,0.0163
10,0.32147,21.7814,0.0135
11,0.36709,22.1107,0.0118
12,0.41948,22.4153,0.0114
13,0.47653999999999996,22.7784,0.0111
14,0.54251,23.1505,0.0119
15,0.61737,23.4346,0.0134
16,0.69921,23.7709,0.0168
17,0.80666,24.1302,0.0229
18,0.93776,24.6166,0.0317
19,1.0793700000000002,24.8773,0.0507
